symbol	factor	F1_Liver	F2	F3_Exocrine	F4_CellCycle	F5_ActivatedStroma	F6_BasalLike	F7_Immune	F8_Classical	F9_Lung	F10	F11_Muscle	F12_Endocrine	F13_NormalStroma	F14
ABCB6	10	0.9937	0.8942	0.423	0.8629	0.2959	0.6407	0.6344	0.807	0.6712	1.4335	1.2193	1.153	0.9071	1.0424
ABCB7	4	0.9607	0.6105	0.7787	1.157	0.5881	0.9982	0.9048	0.4922	0.6445	1.1412	1.1186	0.7417	1.0124	1.0328
ABCB8	4	0.2853	0.3846	0.0926	0.4659	0.164	0.1815	0.0638	0.267	0.1527	0.1199	0.2669	0.1514	0.1226	0
ABCB9	6	0.1195	0.3608	0.1834	0.2503	0	0.4221	0.1667	0.1611	0.1241	0.2575	0.282	0.173	0.0561	0.2962
ABCC1	4	0	0.4263	0.0924	0.8593	0.7154	0.5477	0.3789	0.3113	0.2247	0.3052	0.3565	0.2493	0.027	0
ABCC10	14	0.2471	1.0226	0.9318	0.4147	0.2753	0.4438	0.3312	0.7096	0.5013	0.3555	0.5406	0.3306	0.2119	1.1595
ABCC11	1	1.1113	0	0.0813	0.2852	0	0.1516	0.0263	0.188	0.0502	0.0647	0.1699	0.13	0.0139	0.0627
ABCC12	11	0.15	0.0019	0.0003	0	0	0	0	0.0236	0	0	1.4223	0	0	0
ABCC13	9	0.101	0.0359	0.0984	0.2006	0	0.2227	0.122	0.2197	0.2919	0	0.1134	0.0116	0.1672	0.2114
ABCC2	1	2.0007	0.1352	0.3688	0.5096	0	0.2151	0.3698	0.3884	0.2176	0.7616	0.3106	0	0.49	0.5688
ABCC3	8	1.5795	0.2766	1.7434	0.6637	1.0562	1.803	0.9911	3.0253	0.7535	1.2268	0.0266	1.6652	0	0.2048
ABCC4	4	0.0445	0.1087	0.1087	0.6166	0.2929	0.0575	0.0928	0	0.2164	0.0542	0.1914	0.186	0.1221	0
ABCC5	11	0.2699	0.1127	0.2692	0.75	0.4923	0.6868	0.6701	0.6317	0.5241	0.8238	0.8781	0.7806	0.3484	0.4628
ABCC6	1	1.4212	0.5298	0.9921	0.2849	0.0632	0.0566	0.0865	0.8128	0.7814	0.2557	0.2615	0.4397	0.3163	0.9202
ABCC8	12	0.0294	0.7187	1.8685	0	0.0667	0	0.2516	0	1.1684	0.4136	0.4309	6.0817	0.1296	0
ABCC9	13	0.6478	0	0.1769	0.1003	0.5385	0	0.1472	0	0.0868	0	0.731	0.3882	1.196	0
ABCD1	2	0.4522	0.8346	0.547	0.3902	0.3589	0.4076	0.287	0.3957	0.3491	0.525	0.54	0.137	0.1824	0.4532
ABCD2	7	0.0116	0.1219	0.0404	0.1304	0.1166	0.0183	0.3171	0	0.0043	0.0089	0.0534	0.0335	0.0796	0.1013
ABCD3	4	0.6542	0.1932	0.5982	1.0736	0.1963	0.4153	0.083	0.5675	0.3026	0	0.4716	0.5671	0.3835	0.2552
ABCD4	7	0.9257	0	1.0335	1.2741	0.7138	1.1124	1.4369	0.8472	0.8275	1.242	0.6502	0.882	1.0755	0.6484
ABCE1	4	0.4409	0.457	0.8649	1.3386	0.6007	0.6626	0.5094	0.3046	0.3456	0.0764	0.8679	0.4183	0.6761	0.8178
ABCF1	14	0.6455	1.2411	0.7029	1.0815	0.9517	0.7956	0.8769	0.7681	0.8516	0.8888	1.3036	0.9598	0.7411	1.6724
ABCF2	11	0.271	0.7013	0.3327	0.9465	0.5118	0.4112	0.4146	0.297	0.4561	0.3752	1.0124	0.4107	0.4463	0.8028
ABCF3	2	0.7994	1.1878	0.8514	0.9408	0.5538	0.7288	0.7662	0.8198	0.7249	0.9404	0.8479	0.7298	0.6528	0.9861
ABCG1	7	0.6541	0.8208	0.1604	0.0217	1.0304	0.7546	1.3444	1.2353	1.3037	0.8879	0.8303	0.3099	0.6757	0.7111
ABCG2	13	0.8253	0.5212	0.3604	0.9354	0.4121	0.2541	0.5455	0.9289	0.7254	0.0858	0.39	0.463	1.2062	1.0271
ABCG4	13	0.2371	0	0.092	0.4526	0.3907	0.2093	0.1945	0.12	0.0886	0.438	0.3604	0.1378	0.6074	0.0571
ABCG5	1	2.5189	0.1584	0.2734	0.3052	0	0	0.2323	1.0082	0.0898	0.0042	0.1657	0	0.3878	0.5924
ABCG8	1	0.2322	0.138	0.0241	0.0819	0.0028	0	0.0102	0.1044	0.024	0.0179	0.0661	0.0115	0.0316	0.0076
ABHD1	14	0.6257	0.3186	0.2209	0.1521	0.1989	0.1063	0.2502	0.2769	0.1908	0.36	0.5488	0.3779	0.2789	0.8856
ABHD10	4	0.5703	0.4575	0.4587	0.8234	0.1187	0.4238	0.3244	0.2068	0.341	0.1836	0.4422	0.4401	0.4037	0.4698
ABHD11	8	0.2916	0.9449	0.8322	0.9491	0.4831	1.1065	0.2505	1.3413	0.5885	0.7079	0.5257	0.6447	0.2374	1.0766
ABHD12	3	0.3862	0.8044	1.169	1.1035	0.3673	1.0281	0.097	0.8843	0.7193	0.3489	0.4972	0.5716	0.9492	0.5726
ABHD12B	6	0.0055	0.0419	0.0587	0.1973	0	0.2283	0.0335	0	0.2229	0.0065	0.0574	0.0413	0.0694	0
ABHD13	4	0.3995	0.025	0.3839	0.7994	0.3925	0.3397	0.3937	0.3257	0.3206	0	0.4085	0.4388	0.4024	0
ABHD14A	2	0.6072	1.489	0.6995	0.5771	0.3701	0.1939	0.5094	0.6794	0.6281	0.5741	0.6656	1.4839	0.897	0.9104
ABHD14B	14	0.6528	0.7433	0.4288	0.3323	0.3003	0.1847	0.4876	0.6573	0.4265	0.2867	0.3156	0.5283	0.4417	1.067
ABHD2	8	0.5921	0.574	0.2847	0.314	0.4949	0.4837	0.1534	1.0853	0.3646	0.1937	0.4544	0.4433	0.101	0.4262
ABHD3	8	0.7115	0.0181	0.5624	1.2361	0.4549	0.9256	1.0424	1.3617	0.7661	0	0.5614	0.6811	0.2038	0
ABHD4	2	0.9003	1.3349	0.5804	0.3397	0.4766	0.4651	0.3851	0.874	0.6876	0.9513	0.7631	0.5005	0.6466	1.2955
ABHD5	9	0.9389	0.7933	0.6548	1.3049	1.0352	0.756	0.6267	0.4684	1.5318	0.1955	1.3086	0.2399	1.011	0.6401
ABHD6	1	1.7854	0.805	0.2028	0.9957	0.3881	0.0299	1.2011	0.8751	1.0486	0.4706	0.5867	0.9157	1.139	0.7186
ABHD7	6	0	0.347	0	0.9016	0.645	1.0628	0	0.8079	0.1284	0	0.3474	0.0379	0.0388	0.5234
ABHD8	2	0.6325	0.9779	0.2504	0.3554	0.2423	0.2814	0.3632	0.1913	0.4379	0.5474	0.5546	0.5364	0.229	0.2868
ABHD9	14	0.6591	2.0535	0.5688	0.1636	0.7729	0.7384	0.5945	1.1096	0.9396	1.0401	0.7325	1.2297	0.4671	2.4418
ABI1	14	0.7926	0.07	0.917	1.1528	0.8838	1.0365	1.172	1.1328	0.8663	0.5869	0.9189	0.4953	0.6891	1.1927
ABI2	4	0.4859	0.5332	0.5248	1.0784	0.9206	0.8056	0.6239	0.2146	0.7498	0.8776	0.6787	0.8328	0.7864	0.7569
ABI3	7	0.7623	0.8413	0.3139	0.0849	1.0051	0	1.5123	0.2376	0.9977	0.8903	0.3779	0.8304	0.5341	1.0774
ABI3BP	13	0.051	0	0.4218	0.1731	0.6745	0.0678	0.5078	0.2618	0.5538	0.122	0.2245	0.5646	1.1674	0.1959
ABL1	2	0.1733	0.5961	0.1111	0.26	0.2215	0.1392	0.1154	0.1721	0.1534	0.5331	0.2753	0.1077	0.2789	0.4004
ABL2	5	0.1304	0.4558	0.2343	0.5638	1.1519	0.6526	0.3242	0	0.2655	0.9062	0.5161	0.2121	0.7477	0.5274
ABLIM1	8	0.9719	0.9395	1.1964	1.152	0.8996	1.2552	1.483	2.1903	1.4443	1.274	1.9015	1.976	1.706	1.6987
ABLIM2	11	0.4862	0.2105	0.471	0	0.6309	0.3563	1.1708	1.09	0.9215	1.4286	2.9872	1.422	0.794	0.8607
ABLIM3	1	1.5057	0.5527	0	0.2931	0.561	1.1532	0.3822	0.5495	0.4311	0.8749	0.8468	0.1252	1.0555	0.2662
ABO	14	0.1373	0.1951	0	0.1363	0.2174	0.1436	0.1313	0.378	0.2262	0.0084	0.235	0.2171	0.0802	0.4371
ABP1	8	0.0102	0.6392	0	0.0961	0.2182	0.3334	0.3202	2.1828	0.0654	0.0418	0.1421	0.2444	0	0.8486
ABR	10	0.5617	1.0296	0.8772	1.1654	1.5678	1.4601	1.5314	1.7889	1.5677	2.1299	1.0435	1.8029	1.3452	1.3428
ABRA	11	0	0	0	0	0	0	0	0	0	0	2.9382	0	0.5143	0
ABT1	4	0.4594	0.1088	0.641	1.0142	0.596	0.5815	0.5485	0.5322	0.4445	0.2947	0.3696	0.3131	0.6091	0.2062
ABTB1	14	0.5288	0.9097	0.3622	0.1903	0.368	0.5227	0.8688	0.824	0.8088	0.7494	0.7203	0.3176	0.5642	1.0498
ABTB2	8	1.0798	0.5097	0.3822	0.5238	0.4729	1.4697	0.5787	1.472	0.3023	0.9011	1.1031	0.6179	0.5097	0.9519
ACAA1	1	1.7731	0.9328	1.2246	1.1491	0.6963	0.6475	0.9371	1.2291	0.9996	0.4283	0.8307	1.0025	0.7706	0.8797
ACAA2	1	2.4001	0.5202	1.3309	1.5046	0.8843	0.6374	0.7594	1.0444	0.8145	0.2907	1.4506	1.3587	1.1153	0.546
ACACA	4	0.1635	0.2137	0.229	0.6574	0.059	0.3954	0.0418	0.1759	0.1826	0.0699	0.2789	0.213	0.1537	0
ACACB	11	0.8344	0.0676	0.2438	0.1048	0	0	0.2102	0.1687	0.2026	0.1989	1.1925	0.3431	0.6151	0.0599
ACAD10	2	0.4012	0.8011	0.2679	0.3064	0.1108	0.1943	0.2895	0.3148	0.1714	0.6582	0.2528	0.2136	0.168	0.5202
ACAD11	1	1.2316	0	0.763	0.736	0.0645	0.2747	0.489	0	0.2573	0.3558	0.1684	0.2039	0.566	0
ACAD8	4	0.8114	0.1415	0.7619	0.8415	0.2983	0.421	0.5885	0.4407	0.6217	0.2885	0.6377	0.4586	0.4994	0.4505
ACAD9	14	0.7297	1.0342	1.2084	1.1755	0.6552	0.8224	0.5811	0.6769	0.7729	0.7371	1.0642	0.7321	0.825	1.2228
ACADL	3	0.6904	0	1.3033	0.1513	0	0	0	0	0.4331	0	0.6337	0	0.2079	0
ACADM	1	1.6559	0.3182	1.2099	1.4967	0.5304	0.3925	0.8095	0.5572	0.5755	0.0273	1.3468	0.8456	1.125	0.5001
ACADS	1	1.2452	0.5747	0.5618	0.4172	0.0813	0.1032	0.164	0.9121	0.316	0.0031	0.9288	0.292	0.3586	0.1773
ACADSB	1	1.9071	0	0.6762	0.9675	0.1062	0.2188	0.2821	0.207	0.3265	0.2541	0.4873	0.3974	0.5318	0.2692
ACADVL	10	1.9972	1.8804	1.4775	1.1019	0.6891	1.1775	1.6589	1.5534	1.6674	2.0029	1.9325	1.4315	1.2837	1.3741
ACAN	13	0.0073	0.9342	0.0613	0	1.1063	0	0.2677	0.6441	0.0854	1.1132	0.272	0.6018	1.7215	1.3291
ACAP1	7	0.2345	0.5566	0.4078	0.1753	0.0736	0.2467	1.0707	0.257	0.3311	0.519	0.3514	0.3166	0.3535	0.3972
ACAP2	4	0.5285	0.7393	0.3751	0.9109	0.8527	0.7453	0.7852	0.6184	0.7007	0.3359	0.3983	0.5067	0.7398	0.1142
ACAP3	2	0.1916	0.4827	0.2175	0.2543	0.06	0.2966	0.2913	0.1956	0.2194	0.4092	0.2745	0.2582	0.1714	0.1145
ACAT1	1	2.035	0.9132	1.4994	1.6291	0.5709	0.2677	0.61	0.1484	0.9333	0.3705	1.7163	0.8786	1.2168	1.183
ACAT2	4	1.4974	0.4516	1.1244	2.08	0.6572	1.0317	0.8097	0.8971	0.9196	0.9359	0.6363	0.9147	0.8571	0.8756
ACBD3	6	0.7744	0.8549	0.7144	0.9469	0.9253	1.158	0.6679	1.0024	0.7617	0.22	0.9622	0.6672	0.8743	0.4281
ACBD4	2	0.5783	2.0999	0.7115	0.2547	0	0.2315	0.1691	0.2425	0.119	0.3612	0.2297	0.9017	0.3828	0.3839
ACBD5	8	0.8069	0.629	0.2959	0.5567	0.436	0.4465	0.1972	0.8945	0.2513	0.7783	0.6202	0.356	0.2515	0.2239
ACBD6	14	0.6996	0.6401	1.0242	1.5709	1.3054	1.3727	0.9842	0.9799	0.828	1.0851	1.0092	1.0468	1.3434	1.6199
ACBD7	14	0.404	0.0152	0.4234	0.2437	0	0.4389	0.9482	0.3002	0.4619	1.5418	0.2866	0.3534	0.1948	3.0012
ACCN1	14	0.3629	0.9908	0	0.1062	0.229	0.2449	0.1228	0.6148	0.3574	0.2304	0.4738	0.7638	0.164	1.7404
ACCN2	10	0.0451	0.45	0.2913	1.0602	0.8024	0.4586	0.1849	0.1963	0.1166	1.2563	0.2897	0.8982	1.1331	0.4058
ACCN3	2	0.2152	0.3355	0.1845	0.2252	0	0.1711	0.1561	0.1379	0.1398	0.2482	0.2258	0.0186	0.0829	0
ACCN4	2	0.1897	0.5664	0	0.1698	0.038	0.1725	0.1315	0.1647	0.2442	0.3158	0.2949	0.1439	0.1185	0.2745
ACCN5	14	0.0655	0.0713	0.0576	0.1468	0.0624	0.1039	0.1054	0.1814	0.1286	0.1055	0.1344	0.0982	0.1365	0.4072
ACCS	12	0.6935	0.4529	0.707	0.5687	0.4236	0.3825	0.8002	0.6216	0.6553	0.7567	0.2591	0.8315	0.4608	0.6369
ACD	2	0.3556	1.2015	0.5482	0.9245	0.4391	0.8809	0.7334	0.6163	0.6218	1.1109	0.5316	0.6462	0.6197	0.9327
ACE	2	0.169	0.58	0.1239	0.1975	0.0643	0.1016	0.1375	0.2742	0.2509	0.2133	0.2303	0.1277	0.1056	0.3126
ACE2	12	0.8219	0	0.8356	0.2548	0	0.184	0	2.0357	0.4108	0.1451	0.3413	2.3581	1.2605	0.2867
ACER1	14	0.2986	0.5936	0.4805	0.0789	0.2376	0.1639	0.1183	0.3975	0.2547	0.3464	0.3623	0.1382	0.2372	1.4253
ACER3	4	0.1967	0.1842	0.1852	0.8621	0.5967	0.6031	0.2367	0.4739	0.4401	0.1085	0.2658	0.2743	0.3208	0.2377
ACHE	3	0.1404	1.1352	1.1972	0	0	0.3313	0.0698	0.5927	0.2975	0.2787	0.5546	0	0.156	0.9587
ACIN1	10	0.3425	1.5679	0.3573	0.1158	0.0316	0.3709	0.5181	0.7189	0.3522	2.1055	0.3391	0.5435	0.3933	0.7234
ACLY	4	0.5137	0.8687	0.4815	1.124	0.7663	0.5721	0.6313	0.6203	0.6098	0.9441	0.5571	1.0588	0.7211	0.7405
ACMSD	1	2.8558	0	0	0	0	0	0	0.0921	0	0	0	0.7139	0	0
ACN9	4	0.9218	0.7667	1.1961	1.3519	0.2665	1.0475	0.8042	0.825	0.8097	0	1.1398	0.4362	0.8854	0.9974
ACO1	1	1.8562	1.2079	1.0814	0.9431	0.7633	0.622	0.4632	0.8689	0.8157	0.8372	0.9895	0.8338	1.3065	1.0606
ACO2	11	1.1509	1.6127	1.001	1.3569	0.8806	0.9088	1.0586	1.3295	1.049	0.9078	1.9181	1.0519	1.1553	1.3739
ACOT1	1	2.0838	0.9514	0.9659	1.6526	1.413	0.5602	0.7688	0.968	1.1581	0.7889	1.4565	1.296	1.5237	1.1816
ACOT11	8	0.224	0.3325	0.2745	0.2322	0.286	0.8466	0.0516	1.1522	0.2792	0.7008	0.4918	0.3271	0.2744	0.3318
ACOT12	1	1.6531	0.0387	0.1812	0.2726	0.3605	0.0728	0.1293	0.2911	0.1616	0.0086	0.1606	0.2655	0.0836	1.2861
ACOT2	1	1.5155	0.7267	0.7532	1.2509	1.0739	0.3589	0.4894	0.6822	0.8003	0.388	1.1269	0.7607	1.0948	0.9539
ACOT4	1	1.1326	0.3107	0.3624	0.9233	0.5471	0.9276	0.0375	0.7815	0.4535	0	0.2304	0.3484	0.1239	0.1297
ACOT7	4	0.4609	1.2771	0.0961	1.4429	0.7141	0.7754	0.448	0.903	0.5721	0.7794	0.7232	0.4329	0.5315	0.9482
ACOT8	2	0.6982	1.1332	0.3902	0.6857	0.2504	0.6661	0.322	0.9275	0.5494	0.3749	0.8992	0.3912	0.4941	0.6133
ACOT9	4	0.5543	0.8751	0.7548	1.6557	1.2759	1.1874	0.7812	0.6404	1.021	0.7402	1.2796	0.4593	0.702	0.5711
ACOX1	1	1.1698	0.6943	0.7357	0.5792	0.25	0.6221	0.1808	0.814	0.4847	0.4739	0.5435	0.0997	0.4899	0.3075
ACOX2	1	2.1775	0.1116	1.0356	0.7263	0.5734	0.1197	0.4568	0.3695	0.727	0.3625	0.9281	0.6736	1.8045	0.4011
ACOX3	1	0.795	0.3087	0.6464	0.7606	0.6721	0.4134	0.4651	0.6092	0.4879	0.4493	0.4302	0.4307	0.6689	0.3008
ACOXL	9	0.0064	0.0291	0.0849	0.2097	0	0.145	0.1299	0.0375	0.2756	0	0.0473	0.1399	0.0035	0
ACP1	3	0.5312	0.699	0.728	0.6807	0.197	0.4521	0.3413	0.511	0.4748	0.3215	0.6135	0.3322	0.4719	0.6813
ACP2	2	0.4002	0.7137	0.4466	0.5487	0.4592	0.1435	0.2184	0.2679	0.3181	0	0.2672	0.1995	0.1618	0.1272
ACP5	5	1.6209	1.1638	0.7499	0.0868	3.18	0.836	2.5067	1.9301	2.4672	1.5016	0.3541	0.4811	0.1563	0.3156
ACP6	8	0.1964	0.3012	0.3433	0.702	0.219	0.7196	0.1201	0.9862	0.2279	0	0.3563	0.4489	0.3559	0.402
ACPL2	5	0.2295	0.5932	1.0553	0.875	1.2778	0.8277	0.6565	0.8241	0.6619	0.2158	0.6707	0.697	0.8629	0.483
ACPP	12	0	0	0.2235	0.3498	0.0272	0.1514	0.0446	0.3352	0.3867	0	0.0581	0.7565	0	0
ACPT	14	0.2497	0.839	0.1686	0.0059	0.1323	0.0923	0.1179	0.4098	0.2442	0.4583	0.2937	0.3592	0.1096	1.4221
ACR	14	0.2813	0.3098	0.349	0.1088	0.1283	0.2438	0.2524	0.3037	0.2977	0.6092	0.4325	0.1554	0.3536	0.9555
ACRBP	2	0.4255	0.8507	0.3114	0.1284	0.215	0.0654	0.7078	0.1546	0.8072	0.1751	0.1751	0.2369	0	0.0833
ACRC	10	0.2661	0	0.7599	0.7298	0	0.698	1.3414	0.1146	0.4442	1.8519	0.8989	0.0513	0	0
ACRV1	11	0.0412	0.295	0	0.1055	0.1008	0.1574	0.0623	0.1047	0.0989	0.0894	0.3043	0.0602	0.0027	0.2668
ACSBG1	9	0.0509	0.0446	0.0729	0.1723	0	0.1781	0.0872	0.0893	0.2862	0.0844	0.1214	0.0692	0.1989	0
ACSBG2	2	0.1931	0.4112	0.1529	0.1212	0.0758	0.1851	0.0895	0.1798	0.1672	0.2725	0.2292	0.0698	0.1837	0.4044
ACSF2	6	0.9177	0.3129	0.7056	0.6143	0.1396	1.3975	0.621	0.7845	0.7844	0.6049	0.4088	0.7552	0.6916	0.488
ACSF3	2	0.653	0.9238	0.5196	0.6149	0.4267	0.4161	0.6547	0.7459	0.5802	0.4861	0.6993	0.4648	0.396	0.7382
ACSL1	1	2.4745	0.7717	0.4476	0.6091	1.4204	0.3809	0.9949	0.2965	1.8318	0.6038	2.0358	1.003	0.6045	1.1838
ACSL3	4	0.8953	0.4674	0.4103	1.3909	0.7769	0.973	0.2383	0.7516	0.7667	0.3396	0.8189	0.8014	0.8154	0.2296
ACSL4	14	0.7039	0.5345	0.6573	0.9322	0.9976	0.6689	0.5441	0.3733	0.9433	0.2655	0.8684	0.5575	0.7112	1.2366
ACSL5	8	1.0629	0.0532	0.1338	0.6948	0.7881	1.3907	0.9186	2.6274	0.5214	0	0.2203	0	0.6199	0.3926
ACSL6	7	0.1226	0.0653	0.3362	0.1928	0.1318	0.0565	0.4555	0.0709	0.1075	0	0.1154	0.216	0.1683	0.0281
ACSM1	12	0.8302	0.1247	0.6365	0.1515	0.1755	0.3362	0.1132	0.3799	0.4453	0	0.1437	0.8786	0.0075	0
ACSM2A	1	2.774	0.2972	0.2798	0.1514	0	0.0348	0.0111	0	0	0	0.0702	0	0.1114	0.1434
ACSM2B	1	4.3638	0.4344	0.4816	0.024	0	0.2558	0.0521	0.0657	0.059	0.2982	0.1761	0	0.2987	0.8007
ACSM3	14	0.7047	0.4175	0.966	0.2635	0.2526	0.217	0.1118	0.7395	0.4151	0.0987	0.2767	0.3859	0.0993	1.2442
ACSM5	1	2.1003	0.037	0	0.0803	0.0884	0	0.4197	0	0.2238	0.1614	0.349	0.1831	0.3341	0
ACSS1	10	0.4301	0.4745	1.0086	0.2341	0	0.1884	0.9237	0.7445	0.6205	1.1002	0.7357	0.432	0.4276	0.7646
ACSS2	11	0.7227	0.4075	0.6276	0.8835	0.1792	0.7795	0.3192	1.0867	0.9451	0.8011	1.216	0.3977	0.7705	0.6941
ACSS3	1	1.5727	0.1873	0.3155	0.0792	0.6845	0.0487	0.3546	0	0.5521	0.1215	0.5759	0.4151	0.9393	0.2807
ACTA1	11	0	0.1711	0	0	0.0888	0	0	0	0	0.3128	5.0246	0.0921	0.2299	0.2212
