Gene	P value	Adjusted P value	Log2 Fold Change	Cluster
CALM1	6.29E-129	1.60E-124	0.685143072	S100A12+
RGL4	5.74E-128	1.46E-123	0.779391594	S100A12+
BRI3	2.96E-127	7.51E-123	0.408453195	S100A12+
GAPDH	5.31E-119	1.35E-114	0.575247175	S100A12+
ATP6V0C	3.32E-116	8.43E-112	0.674017888	S100A12+
GPSM3	2.23E-115	5.66E-111	0.566829277	S100A12+
ARG1	2.61E-114	6.63E-110	1.114034246	S100A12+
UBL5	5.07E-114	1.29E-109	0.619101202	S100A12+
GCA	3.10E-110	7.88E-106	0.456987099	S100A12+
MYL12A	1.16E-109	2.94E-105	0.456513443	S100A12+
ARPC3	5.29E-107	1.34E-102	0.394447297	S100A12+
PADI4	6.20E-107	1.57E-102	1.016730594	S100A12+
QPCT	3.49E-106	8.85E-102	0.721419776	S100A12+
PLP2	1.88E-105	4.77E-101	0.943503108	S100A12+
ATP6V0B	3.11E-104	7.91E-100	0.487318352	S100A12+
CORO1A	6.78E-98	1.72E-93	0.656827427	S100A12+
TUBA4A	5.95E-97	1.51E-92	0.769888718	S100A12+
CFL1	1.38E-96	3.51E-92	0.400806527	S100A12+
UQCR11	4.74E-93	1.20E-88	0.727871243	S100A12+
CSTA	4.81E-93	1.22E-88	0.789695126	S100A12+
FAU	1.38E-90	3.50E-86	0.325518797	S100A12+
ABTB1	9.20E-84	2.33E-79	0.669669818	S100A12+
PROK2	4.36E-76	1.11E-71	0.683216299	S100A12+
LSP1	7.65E-76	1.94E-71	0.452091152	S100A12+
TALDO1	2.97E-73	7.54E-69	0.419406243	S100A12+
C1orf162	2.18E-72	5.54E-68	0.803511406	S100A12+
LAMTOR5	9.51E-72	2.41E-67	0.944507231	S100A12+
HEBP2	3.92E-71	9.95E-67	0.754971821	S100A12+
TKT	5.37E-70	1.36E-65	0.582456317	S100A12+
RFLNB	2.75E-68	6.98E-64	0.883791021	S100A12+
C9orf16	4.85E-68	1.23E-63	0.827111364	S100A12+
COTL1	5.92E-68	1.50E-63	0.451921354	S100A12+
CAP1	2.09E-67	5.30E-63	0.411105612	S100A12+
IFITM1	2.61E-67	6.62E-63	0.481609709	S100A12+
TMA7	1.91E-65	4.86E-61	0.392492287	S100A12+
ATP5MPL	5.11E-56	1.30E-51	0.755622038	S100A12+
PGD	5.22E-54	1.33E-49	0.676458322	S100A12+
NDUFB1	2.22E-51	5.64E-47	0.629009869	S100A12+
FCER1G	4.96E-50	1.26E-45	0.396839939	S100A12+
PRDX5	5.25E-45	1.33E-40	0.542099573	S100A12+
MAP1LC3B	8.87E-45	2.25E-40	0.337874737	S100A12+
SPI1	1.82E-43	4.62E-39	0.457783066	S100A12+
SELL	1.15E-42	2.92E-38	0.360460953	S100A12+
MME	9.15E-42	2.32E-37	0.469433937	S100A12+
CD37	4.66E-40	1.18E-35	0.39694559	S100A12+
GNG5	1.38E-39	3.49E-35	0.459027314	S100A12+
CYP4F3	3.11E-39	7.89E-35	0.587871208	S100A12+
LYZ	6.09E-39	1.55E-34	0.486850297	S100A12+
FKBP8	1.34E-37	3.42E-33	0.545004433	S100A12+
PYCARD	6.24E-36	1.59E-31	0.60337571	S100A12+
EMP3	1.97E-32	5.00E-28	0.517803905	S100A12+
LEPROTL1	3.00E-32	7.63E-28	0.825742838	S100A12+
PRR13	4.77E-32	1.21E-27	0.48604716	S100A12+
SUB1	6.94E-31	1.76E-26	0.540347231	S100A12+
RABAC1	9.81E-31	2.49E-26	0.595244494	S100A12+
SRP14	2.59E-30	6.58E-26	0.516517007	S100A12+
RAB5IF	1.30E-29	3.31E-25	0.64643897	S100A12+
PYGL	2.81E-29	7.14E-25	0.554471441	S100A12+
CLEC4D	7.21E-29	1.83E-24	0.638023288	S100A12+
CKAP4	1.65E-28	4.19E-24	0.476865516	S100A12+
CLIC1	4.89E-28	1.24E-23	0.442304783	S100A12+
VSIR	2.06E-27	5.22E-23	0.329532106	S100A12+
PET100	3.14E-26	7.96E-22	0.511524792	S100A12+
YPEL3	7.04E-26	1.79E-21	0.33850479	S100A12+
ARPC1B	1.39E-25	3.54E-21	0.683989945	S100A12+
CEBPD	1.90E-25	4.83E-21	0.309001033	S100A12+
CDKN2D	2.70E-25	6.85E-21	0.533961963	S100A12+
RNASEK	4.91E-25	1.25E-20	0.36157155	S100A12+
CFP	7.67E-25	1.95E-20	0.681132574	S100A12+
CST3	9.46E-25	2.40E-20	0.526473095	S100A12+
HCST	6.18E-24	1.57E-19	0.783643859	S100A12+
FOXP1	4.63E-23	1.18E-18	0.27704088	S100A12+
BLOC1S1	5.44E-23	1.38E-18	0.563462052	S100A12+
TMEM120A	5.82E-23	1.48E-18	0.765569797	S100A12+
NCF4	1.62E-22	4.12E-18	0.500254275	S100A12+
ITGB2	2.40E-22	6.10E-18	0.457247062	S100A12+
CNPY3	4.35E-22	1.10E-17	0.645526869	S100A12+
COX6B1	1.03E-21	2.61E-17	0.474772184	S100A12+
TGFB1	1.93E-20	4.91E-16	0.509649298	S100A12+
APMAP	2.00E-20	5.08E-16	0.648910165	S100A12+
IFITM3	2.16E-20	5.49E-16	0.2748849	S100A12+
NQO2	5.98E-20	1.52E-15	0.485604962	S100A12+
YWHAB	2.35E-19	5.96E-15	0.536898268	S100A12+
RHOG	5.16E-18	1.31E-13	0.402598133	S100A12+
NDUFA1	1.08E-17	2.74E-13	0.539593542	S100A12+
RAC2	1.18E-17	2.99E-13	0.377757979	S100A12+
ACTN4	4.35E-17	1.10E-12	0.275349223	S100A12+
BST1	1.51E-16	3.84E-12	0.639722758	S100A12+
VNN2	1.66E-16	4.20E-12	0.334783902	S100A12+
LIMD2	2.04E-16	5.18E-12	0.537927357	S100A12+
FKBP1A	8.31E-16	2.11E-11	0.47799831	S100A12+
GNAI2	1.15E-15	2.93E-11	0.324556329	S100A12+
CDC42	3.53E-15	8.98E-11	0.291307847	S100A12+
GLIPR2	3.81E-15	9.69E-11	0.493329401	S100A12+
TOB1	4.61E-15	1.17E-10	0.445193639	S100A12+
UBC	5.77E-15	1.46E-10	0.254791717	S100A12+
STK17B	1.27E-14	3.23E-10	0.288715191	S100A12+
SLC2A3	3.21E-14	8.15E-10	0.268748253	S100A12+
ARPC2	3.31E-14	8.40E-10	0.321401249	S100A12+
COX5B	4.12E-14	1.05E-09	0.456726593	S100A12+
PNPLA2	1.14E-13	2.90E-09	0.618642845	S100A12+
NUP214	1.96E-13	4.98E-09	0.581335819	S100A12+
TMX4	2.10E-13	5.32E-09	0.472661747	S100A12+
DHRS7	1.34E-12	3.39E-08	0.486938034	S100A12+
TRAPPC1	1.53E-12	3.89E-08	0.581140983	S100A12+
UBALD2	2.57E-12	6.51E-08	0.467201983	S100A12+
ATP5IF1	3.14E-12	7.96E-08	0.581652926	S100A12+
HSD17B11	3.24E-12	8.22E-08	0.293239565	S100A12+
ARHGAP45	9.37E-12	2.38E-07	0.27729206	S100A12+
COX4I1	1.13E-11	2.87E-07	0.494710719	S100A12+
FGD3	1.28E-11	3.24E-07	0.263669339	S100A12+
ICAM3	1.74E-11	4.42E-07	0.416116241	S100A12+
H2AFY	6.23E-11	1.58E-06	0.310123596	S100A12+
ARHGDIB	9.37E-11	2.38E-06	0.312285177	S100A12+
ZYX	1.87E-10	4.74E-06	0.444991252	S100A12+
MTHFS	2.17E-10	5.50E-06	0.42467274	S100A12+
HMGB1	3.36E-10	8.53E-06	0.258523448	S100A12+
SH3KBP1	3.89E-10	9.89E-06	0.334054207	S100A12+
PSMB3	6.95E-10	1.77E-05	0.418820318	S100A12+
MYL12B	8.79E-10	2.23E-05	0.332174169	S100A12+
ADD3	9.98E-10	2.53E-05	0.451706829	S100A12+
AL034397-3	5.76E-09	1.46E-04	0.414722248	S100A12+
PLBD1	1.32E-08	3.35E-04	0.548764577	S100A12+
SNX3	1.40E-08	3.56E-04	0.547261563	S100A12+
NOP10	1.55E-08	3.93E-04	0.349510764	S100A12+
AGFG1	4.16E-08	1.06E-03	0.586719872	S100A12+
METTL9	5.50E-08	0.001396868	0.456744703	S100A12+
SH3GLB1	1.03E-07	0.002622398	0.271732663	S100A12+
LILRA5	1.34E-07	0.003399622	0.543534457	S100A12+
ANXA3	2.04E-07	0.005181537	0.527286682	S100A12+
OSER1	2.16E-07	0.005476312	0.26512691	S100A12+
NFIL3	2.36E-07	0.005982663	0.318909671	S100A12+
ATP5ME	2.80E-07	0.007108284	0.485167988	S100A12+
RAB32	7.63E-07	0.019364049	0.562505682	S100A12+
OSTF1	7.90E-07	0.020064205	0.320719119	S100A12+
RGS19	9.96E-07	0.025298591	0.619000985	S100A12+
ATP5MG	1.11E-06	0.028078154	0.429293436	S100A12+
SELENOK	1.49E-06	0.037806762	0.363954293	S100A12+
JPT1	1.55E-06	0.039301219	0.492406851	S100A12+
UQCRB	1.88E-06	0.047802752	0.526587766	S100A12+
IL1R2	3.92E-06	0.09952084	0.285342046	S100A12+
VAPA	4.20E-06	0.106731822	0.316963423	S100A12+
SYNE1	5.58E-06	0.141727719	0.513857844	S100A12+
CARD16	6.75E-06	0.171485784	0.329257004	S100A12+
MMP25	9.46E-06	0.240081639	0.437269954	S100A12+
MAX	1.30E-05	0.331313849	0.338489963	S100A12+
H2AFZ	1.82E-05	0.4626872	0.494079951	S100A12+
AGTRAP	2.36E-05	0.600291504	0.534899667	S100A12+
DOK3	2.54E-05	0.643871637	0.274785223	S100A12+
OST4	2.82E-05	0.716141787	0.545467484	S100A12+
RNF145	3.62E-05	0.918836885	0.293949663	S100A12+
EAPP	5.67E-05	1	0.29645698	S100A12+
TIMP1	5.84E-05	1	0.458931619	S100A12+
PCNX1	6.89E-05	1	0.297668693	S100A12+
PPP2R5A	7.87E-05	1	0.445535221	S100A12+
NEDD8	8.67E-05	1	0.533547895	S100A12+
UQCR10	0.000117973	1	0.61201332	S100A12+
PPP1CA	0.000155367	1	0.343410021	S100A12+
CLEC12A	0.000165104	1	0.33823898	S100A12+
STXBP2	0.000343549	1	0.480733109	S100A12+
TCIRG1	0.000356852	1	0.350678275	S100A12+
TUBB4B	0.000449848	1	0.369743267	S100A12+
GNG10	0.000460783	1	0.365495648	S100A12+
RTN3	0.000471456	1	0.374933181	S100A12+
DYNLT1	0.000573662	1	0.334436794	S100A12+
MLF2	0.000969033	1	0.251123961	S100A12+
ATP5MD	0.001131409	1	0.264825303	S100A12+
SEC62	0.001374906	1	0.439710705	S100A12+
MSRB1	0.001450345	1	0.334569993	S100A12+
C18orf32	0.00213074	1	0.52004976	S100A12+
ALDOA	0.002195517	1	0.476445943	S100A12+
ITGAM	0.003904855	1	0.516272791	S100A12+
TAF10	0.005506565	1	0.342705872	S100A12+
DYSF	0.006451205	1	0.443992099	S100A12+
UPP1	0.008300671	1	0.413758851	S100A12+
PTPRCAP	2.225074E-308	2.225074E-308	4.218732052	HLA-DR+CD74+
IGKV3-20	2.225074E-308	2.225074E-308	3.787694184	HLA-DR+CD74+
HLA-DPB1	2.225074E-308	2.225074E-308	3.61142714	HLA-DR+CD74+
HLA-DPA1	2.225074E-308	2.225074E-308	3.59297671	HLA-DR+CD74+
AHNAK	2.225074E-308	2.225074E-308	3.571346107	HLA-DR+CD74+
HLA-DQA1	2.225074E-308	2.225074E-308	3.546329807	HLA-DR+CD74+
CD52	2.225074E-308	2.225074E-308	3.491296527	HLA-DR+CD74+
CD99	2.225074E-308	2.225074E-308	3.398658375	HLA-DR+CD74+
CRIP1	2.225074E-308	2.225074E-308	3.253643379	HLA-DR+CD74+
HLA-DRB1	2.225074E-308	2.225074E-308	3.235634711	HLA-DR+CD74+
NME2	2.225074E-308	2.225074E-308	3.157294824	HLA-DR+CD74+
CCL5	2.225074E-308	2.225074E-308	3.122813047	HLA-DR+CD74+
S100A10	2.225074E-308	2.225074E-308	2.996899192	HLA-DR+CD74+
HLA-DQB1	2.225074E-308	2.225074E-308	2.976014635	HLA-DR+CD74+
IL32	2.225074E-308	2.225074E-308	2.946871624	HLA-DR+CD74+
PPDPF	2.225074E-308	2.225074E-308	2.846553775	HLA-DR+CD74+
EZR	2.225074E-308	2.225074E-308	2.833719455	HLA-DR+CD74+
NR4A1	2.225074E-308	2.225074E-308	2.816699746	HLA-DR+CD74+
H1FX	2.225074E-308	2.225074E-308	2.803924742	HLA-DR+CD74+
COX7C	2.225074E-308	2.225074E-308	2.780944924	HLA-DR+CD74+
RACK1	2.225074E-308	2.225074E-308	2.718016819	HLA-DR+CD74+
HNRNPA1	2.225074E-308	2.225074E-308	2.714767567	HLA-DR+CD74+
NPM1	2.225074E-308	2.225074E-308	2.703230752	HLA-DR+CD74+
COX6C	2.225074E-308	2.225074E-308	2.69539304	HLA-DR+CD74+
SNRPD2	2.225074E-308	2.225074E-308	2.62892632	HLA-DR+CD74+
PPIA	2.225074E-308	2.225074E-308	2.554897723	HLA-DR+CD74+
GSTP1	2.225074E-308	2.225074E-308	2.440313774	HLA-DR+CD74+
RAN	2.225074E-308	2.225074E-308	2.432745449	HLA-DR+CD74+
CALR	2.225074E-308	2.225074E-308	2.382008668	HLA-DR+CD74+
CD69	2.225074E-308	2.225074E-308	2.355284051	HLA-DR+CD74+
ATF3	2.225074E-308	2.225074E-308	2.354424356	HLA-DR+CD74+
SLC25A6	2.225074E-308	2.225074E-308	2.329255937	HLA-DR+CD74+
CACYBP	2.225074E-308	2.225074E-308	2.235464891	HLA-DR+CD74+
SNHG8	2.225074E-308	2.225074E-308	2.208320972	HLA-DR+CD74+
CYCS	2.225074E-308	2.225074E-308	2.181657724	HLA-DR+CD74+
TSPYL2	2.225074E-308	2.225074E-308	2.175411033	HLA-DR+CD74+
HLA-DRA	2.225074E-308	2.225074E-308	2.161763819	HLA-DR+CD74+
SRSF7	2.225074E-308	2.225074E-308	2.156436691	HLA-DR+CD74+
SLC25A5	2.225074E-308	2.225074E-308	2.08461446	HLA-DR+CD74+
SSR4	2.225074E-308	2.225074E-308	2.056230174	HLA-DR+CD74+
HINT1	2.225074E-308	2.225074E-308	2.047087342	HLA-DR+CD74+
ATP5MC2	2.225074E-308	2.225074E-308	1.970764548	HLA-DR+CD74+
PTMA	2.225074E-308	2.225074E-308	1.963220826	HLA-DR+CD74+
DYNLL1	2.225074E-308	2.225074E-308	1.951880238	HLA-DR+CD74+
RGCC	2.225074E-308	2.225074E-308	1.94921192	HLA-DR+CD74+
LGALS1	2.225074E-308	2.225074E-308	1.909375694	HLA-DR+CD74+
FXYD5	2.225074E-308	2.225074E-308	1.89459056	HLA-DR+CD74+
NCL	2.225074E-308	2.225074E-308	1.875962519	HLA-DR+CD74+
DNAJB1	2.225074E-308	2.225074E-308	1.781372121	HLA-DR+CD74+
TUBA1B	2.225074E-308	2.225074E-308	1.769695441	HLA-DR+CD74+
ATP5F1D	2.225074E-308	2.225074E-308	1.734465143	HLA-DR+CD74+
PTGES3	2.225074E-308	2.225074E-308	1.697420587	HLA-DR+CD74+
CD74	2.225074E-308	2.225074E-308	1.68392919	HLA-DR+CD74+
EIF3H	2.225074E-308	2.225074E-308	1.674437439	HLA-DR+CD74+
JUN	2.225074E-308	2.225074E-308	1.671494942	HLA-DR+CD74+
BTF3	2.225074E-308	2.225074E-308	1.662087928	HLA-DR+CD74+
NDUFA4	2.225074E-308	2.225074E-308	1.597636477	HLA-DR+CD74+
TOMM7	2.225074E-308	2.225074E-308	1.592371891	HLA-DR+CD74+
DDX24	2.225074E-308	2.225074E-308	1.584286642	HLA-DR+CD74+
YBX1	2.225074E-308	2.225074E-308	1.553881083	HLA-DR+CD74+
EIF3K	2.225074E-308	2.225074E-308	1.548798047	HLA-DR+CD74+
HNRNPDL	2.225074E-308	2.225074E-308	1.503968709	HLA-DR+CD74+
MIF	2.225074E-308	2.225074E-308	1.427776625	HLA-DR+CD74+
NACA	2.225074E-308	2.225074E-308	1.360991035	HLA-DR+CD74+
UBB	2.225074E-308	2.225074E-308	1.106551045	HLA-DR+CD74+
TMSB10	2.225074E-308	2.225074E-308	1.059177345	HLA-DR+CD74+
COX4I1	2.225074E-308	2.225074E-308	1.022621767	HLA-DR+CD74+
CCL4	2.225074E-308	2.225074E-308	0.90146914	HLA-DR+CD74+
PFDN5	8.53E-284	2.17E-279	0.913550585	HLA-DR+CD74+
FTH1	2.01E-281	5.11E-277	0.448410852	HLA-DR+CD74+
EDF1	1.83E-265	4.65E-261	1.474971468	HLA-DR+CD74+
FAU	2.49E-265	6.31E-261	0.495221002	HLA-DR+CD74+
UQCRH	4.01E-265	1.02E-260	1.198069099	HLA-DR+CD74+
PPIB	1.45E-252	3.68E-248	1.468976854	HLA-DR+CD74+
DUSP2	1.72E-248	4.37E-244	1.230487918	HLA-DR+CD74+
GAPDH	4.72E-224	1.20E-219	0.67111077	HLA-DR+CD74+
COMMD6	1.59E-214	4.03E-210	1.029331768	HLA-DR+CD74+
HMGN1	3.80E-214	9.64E-210	1.285094769	HLA-DR+CD74+
CD83	1.79E-212	4.55E-208	0.683134295	HLA-DR+CD74+
CCL4L2	1.63E-211	4.13E-207	0.663456713	HLA-DR+CD74+
SEC61G	2.12E-200	5.39E-196	1.382955847	HLA-DR+CD74+
UBC	7.15E-191	1.81E-186	0.3329265	HLA-DR+CD74+
GPX4	7.23E-191	1.84E-186	1.126692318	HLA-DR+CD74+
IGKC	2.17E-184	5.50E-180	1.554914767	HLA-DR+CD74+
CCL3	1.04E-165	2.65E-161	0.892170845	HLA-DR+CD74+
POLR2L	8.91E-163	2.26E-158	1.228152698	HLA-DR+CD74+
RHOH	2.86E-142	7.26E-138	0.873092383	HLA-DR+CD74+
PDIA3	1.42E-141	3.61E-137	1.285967318	HLA-DR+CD74+
TPT1	3.02E-141	7.66E-137	0.324087644	HLA-DR+CD74+
SFPQ	8.44E-133	2.14E-128	1.034617093	HLA-DR+CD74+
CDKN1A	5.94E-130	1.51E-125	0.921102269	HLA-DR+CD74+
RBM3	1.41E-128	3.57E-124	1.070120957	HLA-DR+CD74+
CIRBP	2.70E-118	6.86E-114	0.991122633	HLA-DR+CD74+
ATP5MG	9.45E-115	2.40E-110	0.725574171	HLA-DR+CD74+
LGALS3	1.18E-106	2.99E-102	0.978156386	HLA-DR+CD74+
SNRPG	1.71E-99	4.35E-95	0.992141458	HLA-DR+CD74+
SET	5.66E-98	1.44E-93	1.256943603	HLA-DR+CD74+
ATP5MF	3.83E-94	9.73E-90	0.948483424	HLA-DR+CD74+
HNRNPA0	7.67E-93	1.95E-88	0.824438187	HLA-DR+CD74+
ANXA1	5.68E-84	1.44E-79	1.02735875	HLA-DR+CD74+
OST4	1.33E-82	3.38E-78	0.680216203	HLA-DR+CD74+
PKM	1.37E-76	3.48E-72	1.10908925	HLA-DR+CD74+
CCL3L1	4.61E-76	1.17E-71	0.505131726	HLA-DR+CD74+
CHCHD2	1.35E-75	3.44E-71	0.606376339	HLA-DR+CD74+
SUMO2	1.42E-70	3.60E-66	0.827341665	HLA-DR+CD74+
UQCRQ	1.60E-70	4.06E-66	0.925443057	HLA-DR+CD74+
CIB1	9.64E-69	2.45E-64	0.716066157	HLA-DR+CD74+
DBI	1.29E-68	3.27E-64	0.838206676	HLA-DR+CD74+
LY6E	8.03E-66	2.04E-61	0.579152764	HLA-DR+CD74+
TPI1	1.50E-63	3.81E-59	0.652211369	HLA-DR+CD74+
LDHA	1.79E-63	4.55E-59	0.771248695	HLA-DR+CD74+
SEC61B	6.46E-58	1.64E-53	0.707271751	HLA-DR+CD74+
UQCRB	6.09E-54	1.55E-49	0.688709701	HLA-DR+CD74+
SCAND1	1.06E-45	2.69E-41	0.783951058	HLA-DR+CD74+
SERF2	2.46E-44	6.25E-40	0.394981393	HLA-DR+CD74+
HMGN2	1.49E-41	3.79E-37	0.582266149	HLA-DR+CD74+
ATP5MD	3.93E-40	9.98E-36	0.656852844	HLA-DR+CD74+
EIF5A	5.35E-40	1.36E-35	0.61840855	HLA-DR+CD74+
UQCR10	1.49E-39	3.79E-35	0.585968858	HLA-DR+CD74+
UBXN1	1.96E-38	4.99E-34	0.735512922	HLA-DR+CD74+
EIF4A2	2.16E-37	5.47E-33	0.738151017	HLA-DR+CD74+
ENO1	1.62E-36	4.12E-32	0.551017443	HLA-DR+CD74+
PSME2	1.19E-34	3.02E-30	0.677763338	HLA-DR+CD74+
MARCKSL1	6.55E-34	1.66E-29	0.526663382	HLA-DR+CD74+
UBA52	1.07E-32	2.72E-28	0.370422973	HLA-DR+CD74+
ALDOA	1.28E-31	3.26E-27	0.528164562	HLA-DR+CD74+
RHOB	9.99E-31	2.54E-26	0.731931032	HLA-DR+CD74+
DNAJA1	4.17E-30	1.06E-25	0.565878616	HLA-DR+CD74+
BIRC3	4.85E-29	1.23E-24	0.728004926	HLA-DR+CD74+
DDIT4	6.21E-28	1.58E-23	0.568753291	HLA-DR+CD74+
MT2A	3.43E-27	8.72E-23	0.373450956	HLA-DR+CD74+
COX6A1	4.95E-27	1.26E-22	0.539357158	HLA-DR+CD74+
SLC25A3	5.49E-27	1.40E-22	0.582577346	HLA-DR+CD74+
SF3B5	9.66E-27	2.45E-22	0.661807284	HLA-DR+CD74+
TMEM258	5.68E-25	1.44E-20	0.569438832	HLA-DR+CD74+
ARF6	8.90E-23	2.26E-18	0.855937478	HLA-DR+CD74+
TRA2B	2.51E-21	6.37E-17	0.674421909	HLA-DR+CD74+
C9orf16	4.86E-21	1.23E-16	0.518741072	HLA-DR+CD74+
ATP6V1F	1.64E-20	4.16E-16	0.420814861	HLA-DR+CD74+
SAP18	8.57E-20	2.18E-15	0.444189571	HLA-DR+CD74+
TRMT112	1.10E-19	2.79E-15	0.510145467	HLA-DR+CD74+
ZFP36L2	1.19E-19	3.03E-15	0.351132424	HLA-DR+CD74+
EPC1	1.59E-19	4.05E-15	0.611986246	HLA-DR+CD74+
ANAPC16	1.53E-17	3.89E-13	0.559081219	HLA-DR+CD74+
PMAIP1	3.64E-17	9.25E-13	0.57280693	HLA-DR+CD74+
H2AFV	4.89E-17	1.24E-12	0.537150365	HLA-DR+CD74+
HCST	5.31E-17	1.35E-12	0.368153898	HLA-DR+CD74+
KHDRBS1	9.08E-16	2.31E-11	0.547373279	HLA-DR+CD74+
CST3	1.22E-15	3.10E-11	0.572306404	HLA-DR+CD74+
HNRNPL	2.47E-15	6.28E-11	0.500751715	HLA-DR+CD74+
KLF6	3.70E-13	9.39E-09	0.274025506	HLA-DR+CD74+
BHLHE40	5.03E-13	1.28E-08	0.257429672	HLA-DR+CD74+
TUBB4B	5.82E-13	1.48E-08	0.444686157	HLA-DR+CD74+
JUND	2.77E-12	7.03E-08	0.278035732	HLA-DR+CD74+
SKP1	3.10E-12	7.86E-08	0.455559272	HLA-DR+CD74+
SRRM1	7.10E-12	1.80E-07	0.499227442	HLA-DR+CD74+
IER5	1.38E-11	3.51E-07	0.339523109	HLA-DR+CD74+
C15orf48	1.72E-11	4.38E-07	0.491606863	HLA-DR+CD74+
PABPC1	9.81E-11	2.49E-06	0.258047915	HLA-DR+CD74+
SERTAD1	1.35E-10	3.44E-06	0.315135299	HLA-DR+CD74+
RBM8A	2.38E-10	6.05E-06	0.350353018	HLA-DR+CD74+
ARGLU1	3.70E-10	9.39E-06	0.580217066	HLA-DR+CD74+
FNBP1	5.94E-10	1.51E-05	0.281600705	HLA-DR+CD74+
COX7A2	7.34E-10	1.86E-05	0.303666064	HLA-DR+CD74+
UBE2S	1.03E-09	2.63E-05	0.369686227	HLA-DR+CD74+
NR4A2	4.19E-08	0.001064979	0.477982501	HLA-DR+CD74+
CCNH	2.30E-07	0.005828239	0.509689465	HLA-DR+CD74+
COX8A	3.07E-07	0.007801555	0.314031101	HLA-DR+CD74+
PLP2	5.75E-07	0.014594456	0.280593483	HLA-DR+CD74+
ATP5ME	7.55E-07	0.019161312	0.296782256	HLA-DR+CD74+
ATP5IF1	1.63E-06	0.041369482	0.374400992	HLA-DR+CD74+
PSMB1	4.19E-06	0.106473747	0.536510556	HLA-DR+CD74+
ANXA5	8.52E-06	0.216295017	0.36221932	HLA-DR+CD74+
HNRNPA2B1	2.44E-05	0.620720101	0.334118957	HLA-DR+CD74+
COX7B	3.71E-05	0.941034153	0.453784037	HLA-DR+CD74+
RSRC2	0.000152302	1	0.408184158	HLA-DR+CD74+
TRIR	0.000197626	1	0.440551818	HLA-DR+CD74+
EGR1	0.00026202	1	0.323623883	HLA-DR+CD74+
HERPUD1	0.000933597	1	0.42775411	HLA-DR+CD74+
EIF4A3	0.009537496	1	0.3070862	HLA-DR+CD74+
CLCN7	2.225074E-308	2.225074E-308	2.160944575	VEGFA+SPP1+
MIF	2.225074E-308	2.225074E-308	2.061891301	VEGFA+SPP1+
CCL3	2.225074E-308	2.225074E-308	1.798265965	VEGFA+SPP1+
SLC3A2	2.225074E-308	2.225074E-308	1.791218551	VEGFA+SPP1+
PI3	2.225074E-308	2.225074E-308	1.786665173	VEGFA+SPP1+
